"stage","response","term_type","term","estimate","std_error","t_value","F","edf","ref_df","p_value","adj_r2","dev_explained","n"
"FM","Skew","parametric","tube5",0.0768937258424563,0.325311362493072,0.236369628325214,NA,NA,NA,0.813654751676993,0.00665670178240485,0.0370658852037986,99
"FM","Skew","parametric","tube8",0.324428613783525,0.302399211582122,1.0728487421847,NA,NA,NA,0.286056706567854,0.00665670178240485,0.0370658852037986,99
"FM","Skew","smooth","s(q)",NA,NA,NA,1.80745222653333,1.00007055027598,1.00014109676656,0.182002856046648,0.00665670178240485,0.0370658852037986,99
"SM","Mean","parametric","(Intercept)",0.465564804317207,0.0116024785052261,40.1263233633661,NA,NA,NA,1.57780709183906e-107,0.364003590297511,0.378434166173153,243
"SM","Mean","parametric","tube5",-0.0215910860923068,0.0165705925534975,-1.30297610194692,NA,NA,NA,0.193850066134131,0.364003590297511,0.378434166173153,243
"SM","Mean","parametric","tube8",0.0771469530893282,0.0164648533051997,4.68555362500343,NA,NA,NA,4.71330524645736e-06,0.364003590297511,0.378434166173153,243
"SM","Mean","smooth","s(q)",NA,NA,NA,27.1930636909542,3.49091049671014,3.85007248171643,0,0.364003590297511,0.378434166173153,243
"SM","CV","parametric","(Intercept)",0.286968901737315,0.0163895179903287,17.5092947764939,NA,NA,NA,6.23150133696524e-44,0.097555268503372,0.11442382728764,231
"SM","CV","parametric","tube5",0.0230370015135953,0.0232868458029533,0.989271011992258,NA,NA,NA,0.32358991871343,0.097555268503372,0.11442382728764,231
"SM","CV","parametric","tube8",-0.0491885018923966,0.023331426380326,-2.10825095262389,NA,NA,NA,0.03611218408358,0.097555268503372,0.11442382728764,231
"SM","CV","smooth","s(q)",NA,NA,NA,6.0692114975906,2.29917576663942,2.7814141836374,0.000927775910821604,0.097555268503372,0.11442382728764,231
"SM","Skew","parametric","(Intercept)",0.0369473354134288,0.110253354821712,0.335113026475932,NA,NA,NA,0.737879178176077,0.026587930000804,0.0404944362431154,211
"SM","Skew","parametric","tube5",0.103381820776638,0.153808010387217,0.672148482490419,NA,NA,NA,0.502238699518962,0.026587930000804,0.0404944362431154,211
"SM","Skew","parametric","tube8",-0.00822815818974229,0.157680719468281,-0.0521823988214202,NA,NA,NA,0.958433679697169,0.026587930000804,0.0404944362431154,211
"SM","Skew","smooth","s(q)",NA,NA,NA,8.14881063186011,1.00013365448385,1.00026729566985,0.00474477276453639,0.026587930000804,0.0404944362431154,211
"tritos","Mean","parametric","(Intercept)",0.402843104180637,0.0126814404045467,31.7663523487604,NA,NA,NA,5.21854751655713e-85,0.0566019246458965,0.0793491495892009,231
"tritos","Mean","parametric","tube5",-0.000254763183832143,0.0182281808521728,-0.0139763361960377,NA,NA,NA,0.988861275116178,0.0566019246458965,0.0793491495892009,231
"tritos","Mean","parametric","tube8",0.00105019214206189,0.018072691643837,0.0581093377100812,NA,NA,NA,0.953713235902651,0.0566019246458965,0.0793491495892009,231
"tritos","Mean","smooth","s(q)",NA,NA,NA,4.97941443201699,3.54576257217444,3.87743879121237,0.00638020790902055,0.0566019246458965,0.0793491495892009,231
"tritos","CV","parametric","(Intercept)",0.280658070406886,0.0191113929782292,14.6853801147096,NA,NA,NA,7.43268989744293e-34,0.049527085670885,0.0657804616936255,210
"tritos","CV","parametric","tube5",0.00852040209306619,0.0273204097351624,0.311869484230323,NA,NA,NA,0.755456016154542,0.049527085670885,0.0657804616936255,210
"tritos","CV","parametric","tube8",0.0178756986925014,0.0279503603921888,0.639551635173087,NA,NA,NA,0.523176697237661,0.049527085670885,0.0657804616936255,210
"tritos","CV","smooth","s(q)",NA,NA,NA,7.503221006571,1.57396358964153,1.92790150232546,0.00190431788947953,0.049527085670885,0.0657804616936255,210
"tritos","Skew","parametric","(Intercept)",0.388835113019671,0.135417643123884,2.87137705287009,NA,NA,NA,0.00465527015881165,0.0202920555631758,0.0387772443149912,160
"tritos","Skew","parametric","tube5",-0.23129095780577,0.187031408634859,-1.23664233453601,NA,NA,NA,0.21807842446494,0.0202920555631758,0.0387772443149912,160
"tritos","Skew","parametric","tube8",-0.475970807558181,0.199423970947696,-2.38672816159606,NA,NA,NA,0.0181970377486248,0.0202920555631758,0.0387772443149912,160
"tritos","Skew","smooth","s(q)",NA,NA,NA,0.767971068875674,1.00002161687909,1.00004323341044,0.382194158596652,0.0202920555631758,0.0387772443149912,160
"protos","Mean","parametric","(Intercept)",0.48866093564922,0.0101740481333298,48.0301379790394,NA,NA,NA,8.14998904172168e-124,0.115382689417521,0.126490029551413,240
"protos","Mean","parametric","tube5",-0.0276095498300685,0.0144325330486106,-1.91300790630973,NA,NA,NA,0.0569573020672555,0.115382689417521,0.126490029551413,240
"protos","Mean","parametric","tube8",-0.00943107332357972,0.0144809586822938,-0.651274099353056,NA,NA,NA,0.51550322266115,0.115382689417521,0.126490029551413,240
"protos","Mean","smooth","s(q)",NA,NA,NA,30.6989518411006,1.00090701396304,1.00181339328254,0,0.115382689417521,0.126490029551413,240
"protos","CV","parametric","(Intercept)",0.297569409751108,0.0140491403954697,21.180613288416,NA,NA,NA,2.33202095285918e-56,0.167410762652861,0.179902017880386,239
"protos","CV","parametric","tube5",0.0550741015770048,0.019873605574998,2.77121840670375,NA,NA,NA,0.00603277049103065,0.167410762652861,0.179902017880386,239
"protos","CV","parametric","tube8",0.0205007195966304,0.0199336486516845,1.02844792515684,NA,NA,NA,0.304799120723408,0.167410762652861,0.179902017880386,239
"protos","CV","smooth","s(q)",NA,NA,NA,21.4956225561199,1.57069081702688,1.92412191250779,0,0.167410762652861,0.179902017880386,239
"protos","Skew","parametric","(Intercept)",-0.0645546339846541,0.0746530851767442,-0.864728280576996,NA,NA,NA,0.388091267157576,0.0457811430544965,0.0605123650181764,234
"protos","Skew","parametric","tube5",0.306802678730403,0.105461014142062,2.90915729595698,NA,NA,NA,0.0039803014345759,0.0457811430544965,0.0605123650181764,234
"protos","Skew","parametric","tube8",-0.0255182579781995,0.108065424672451,-0.236137118375707,NA,NA,NA,0.81353696715169,0.0457811430544965,0.0605123650181764,234
"protos","Skew","smooth","s(q)",NA,NA,NA,0.995949597348914,1.59705186347357,1.95994240836927,0.318408477219691,0.0457811430544965,0.0605123650181764,234
"larvae","Mean","parametric","(Intercept)",0.482614786029362,0.00777083789624824,62.105887739901,NA,NA,NA,1.76280135050337e-149,0.167074534542618,0.183987652674564,245
"larvae","Mean","parametric","tube5",-0.0112975420552179,0.0110138202216484,-1.02576052885009,NA,NA,NA,0.306041337264999,0.167074534542618,0.183987652674564,245
"larvae","Mean","parametric","tube8",-0.00407244175393826,0.0110272226639947,-0.36930801871221,NA,NA,NA,0.712225071375047,0.167074534542618,0.183987652674564,245
"larvae","Mean","smooth","s(q)",NA,NA,NA,14.4204505482778,2.95458596878015,3.44934664123454,0,0.167074534542618,0.183987652674564,245
"larvae","CV","parametric","(Intercept)",0.28405622878202,0.0090188450599895,31.4958541689762,NA,NA,NA,5.42678207971569e-87,0.163645374115705,0.178219894099083,244
"larvae","CV","parametric","tube5",0.0303072281166319,0.0127667328321739,2.37392201395909,NA,NA,NA,0.0183922352780934,0.163645374115705,0.178219894099083,244
"larvae","CV","parametric","tube8",0.0188690019080419,0.0128370397912048,1.46988731163472,NA,NA,NA,0.142908731794457,0.163645374115705,0.178219894099083,244
"larvae","CV","smooth","s(q)",NA,NA,NA,17.0641163372796,2.23457735074549,2.7044424552452,0,0.163645374115705,0.178219894099083,244
"larvae","Skew","parametric","(Intercept)",0.0656474835881104,0.0679762630176382,0.965741284881701,NA,NA,NA,0.335153933792495,-0.0109812507992602,0.00160470519843998,242
"larvae","Skew","parametric","tube5",0.0590550081093707,0.0964091093484326,0.612545935840354,NA,NA,NA,0.540761431907187,-0.0109812507992602,0.00160470519843998,242
"larvae","Skew","parametric","tube8",0.0360705910972539,0.0970912195126888,0.371512390907191,NA,NA,NA,0.710586450634191,-0.0109812507992602,0.00160470519843998,242
"larvae","Skew","smooth","s(q)",NA,NA,NA,0.000524197799992074,1.00026869246865,1.00053732900845,0.987078327298492,-0.0109812507992602,0.00160470519843998,242
"eggs","Mean","parametric","(Intercept)",0.43378580573488,0.00708655618458634,61.2124979236585,NA,NA,NA,8.30826903227843e-148,0.118568296857747,0.138747938824238,245
"eggs","Mean","parametric","tube5",-0.00600310072605551,0.0100520013532589,-0.59720452824146,NA,NA,NA,0.550937575862385,0.118568296857747,0.138747938824238,245
"eggs","Mean","parametric","tube8",0.0230861694982988,0.0100579047105779,2.2953259314556,NA,NA,NA,0.022583576459924,0.118568296857747,0.138747938824238,245
"eggs","Mean","smooth","s(q)",NA,NA,NA,6.54477123719389,3.5861760159872,3.89847476540259,4.13104705944689e-05,0.118568296857747,0.138747938824238,245
"eggs","CV","parametric","(Intercept)",0.260582995432635,0.00785569300515988,33.1712294843339,NA,NA,NA,1.50806670991247e-91,0.0663297316230618,0.0828977085102378,245
"eggs","CV","parametric","tube5",0.00367002518752551,0.0111230229079636,0.329948541677273,NA,NA,NA,0.741727050721848,0.0663297316230618,0.0828977085102378,245
"eggs","CV","parametric","tube8",-0.0202565121664662,0.011146592359191,-1.81728294295822,NA,NA,NA,0.0704225803714686,0.0663297316230618,0.0828977085102378,245
"eggs","CV","smooth","s(q)",NA,NA,NA,5.10154902825277,2.32977947075293,2.81175926961206,0.00223091993496388,0.0663297316230618,0.0828977085102378,245
"eggs","Skew","parametric","(Intercept)",-0.0246504891632635,0.0744573062839017,-0.331068774758954,NA,NA,NA,0.740880216687504,-0.00824423296155796,0.00416673663678369,245
"eggs","Skew","parametric","tube5",0.0252632876496598,0.105298628247947,0.23992038709348,NA,NA,NA,0.810595917760216,-0.00824423296155796,0.00416673663678369,245
"eggs","Skew","parametric","tube8",0.0582363694496278,0.105624941836637,0.55135054691626,NA,NA,NA,0.581904213091076,-0.00824423296155796,0.00416673663678369,245
"eggs","Skew","smooth","s(q)",NA,NA,NA,0.697272775577221,1.00351490541163,1.00702024775118,0.40320051918444,-0.00824423296155796,0.00416673663678369,245
"Qtritos","Mean","parametric","(Intercept)",0.32899098835742,0.0184415692604273,17.8396417198282,NA,NA,NA,2.65497457640214e-39,0.240073025792596,0.264192936208607,160
"Qtritos","Mean","parametric","tube5",-0.00395636519485058,0.0263537232884125,-0.150125473791787,NA,NA,NA,0.8808621256554,0.240073025792596,0.264192936208607,160
"Qtritos","Mean","parametric","tube8",0.0263353827055555,0.0300061852091274,0.877665138770948,NA,NA,NA,0.381493060615534,0.240073025792596,0.264192936208607,160
"Qtritos","Mean","smooth","s(q)",NA,NA,NA,15.2254840992056,3.04662406561594,3.5221263768362,0,0.240073025792596,0.264192936208607,160
"Qtritos","CV","parametric","(Intercept)",0.358247781770495,0.0328257723155756,10.9136131916844,NA,NA,NA,8.78559431564198e-19,0.0858389579121646,0.11220902157151,105
"Qtritos","CV","parametric","tube5",0.0209636682259691,0.0492060962282346,0.426038028473799,NA,NA,NA,0.670986700744333,0.0858389579121646,0.11220902157151,105
"Qtritos","CV","parametric","tube8",-0.0990278364962248,0.0627224146994917,-1.5788269149183,NA,NA,NA,0.117502696984399,0.0858389579121646,0.11220902157151,105
"Qtritos","CV","smooth","s(q)",NA,NA,NA,8.69585158849006,1.0000038224211,1.00000764483097,0.003962635370584,0.0858389579121646,0.11220902157151,105
"Qtritos","Skew","parametric","(Intercept)",-0.149290963692251,0.196738114048547,-0.758830918016284,NA,NA,NA,0.451193549262142,0.0221341616900909,0.0727136749404928,59
"Qtritos","Skew","parametric","tube5",0.308160842213297,0.288898060907333,1.06667674142729,NA,NA,NA,0.290777834062953,0.0221341616900909,0.0727136749404928,59
"Qtritos","Skew","parametric","tube8",0.969793565253938,0.654615087271996,1.48147145415697,NA,NA,NA,0.144187781353801,0.0221341616900909,0.0727136749404928,59
